"","X1","X1_1","year","region","department","department_name","origmun","origmun_name","gueratt","paratt","clashes","casualties","pop2018","lpop","cofint","oilprod88","coca94ind","coca94indxyear","lop","oilprod88xlop","linternalp","cofintxlinternalp","ltop3cof","rainfall","temperature","rxltop3cof","txltop3cof","year_2006","year_2007","year_2008","year_2009","year_2010","year_2011","year_2012","year_2013","year_2014","year_2015","year_2016","year_2017","year_2018","region_1","region_2","region_3","region_4","year_2006_region_1","year_2007_region_1","year_2008_region_1","year_2009_region_1","year_2010_region_1","year_2011_region_1","year_2012_region_1","year_2013_region_1","year_2014_region_1","year_2015_region_1","year_2016_region_1","year_2017_region_1","year_2018_region_1","year_2006_region_2","year_2007_region_2","year_2008_region_2","year_2009_region_2","year_2010_region_2","year_2011_region_2","year_2012_region_2","year_2013_region_2","year_2014_region_2","year_2015_region_2","year_2016_region_2","year_2017_region_2","year_2018_region_2","year_2006_region_3","year_2007_region_3","year_2008_region_3","year_2009_region_3","year_2010_region_3","year_2011_region_3","year_2012_region_3","year_2013_region_3","year_2014_region_3","year_2015_region_3","year_2016_region_3","year_2017_region_3","year_2018_region_3","year_2006_region_4","year_2007_region_4","year_2008_region_4","year_2009_region_4","year_2010_region_4","year_2011_region_4","year_2012_region_4","year_2013_region_4","year_2014_region_4","year_2015_region_4","year_2016_region_4","year_2017_region_4","year_2018_region_4"
"11",11,11,2006,1,6,"Antioquia department",5660,"San Luis",0,0,1,2,12995,4.113776284,0.400000006,0,0,0,5.255472669,0,5.668317409,2.267326997,4.36692737,3800,23.20000076,16594.324,101.3127183,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,12,2006,1,6,"Antioquia department",5736,"Segovia",0,0,1,2,37900,4.57863921,0,0,0,0,5.255472669,0,5.668317409,0,4.36692737,3013,23.5,13157.55216,102.6227932,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,13,2006,2,8,"Atl<e1>ntico department",8001,"Barranquilla",0,0,1,6,1206319,6.081462168,0,0,0,0,5.255472669,0,5.668317409,0,4.36692737,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,14,2006,1,9,"Bogot<e1> department",11001,"Bogota",3,0,1,9,7412566,6.869968573,0,0,0,0,5.255472669,0,5.668317409,0,4.36692737,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,15,2006,2,10,"Bol<ed>var department",13248,"El Guamo",0,0,2,4,8647,3.936865459,0,0,0,0,5.255472669,0,5.668317409,0,4.36692737,1263,26.60000038,5515.429268,116.1602697,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,16,2006,4,16,"Cauca department",15514,"Paez",0,0,1,1,3283,3.516270883,0.173500001,0,0,0,5.255472669,0,5.668317409,0.983453079,4.36692737,2680,15.39999962,11703.36535,67.25067983,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"17",17,17,2006,1,13,"Caldas department",17446,"Marulanda",0,0,1,3,2607,3.416141031,0.151999995,0,0,0,5.255472669,0,5.668317409,0.861584218,4.36692737,2260,12.19999981,9869.255855,53.27651308,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,18,2006,4,18,"Choc<f3> department",17614,"Riosucio",1,0,0,0,50775,4.705649932,3.664399862,0,0,0,5.255472669,0,5.668317409,20.77098153,4.36692737,2688,18.5,11738.30077,80.78815634,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"19",19,19,2006,3,14,"Caquet<e1> department",18001,"Florencia",0,0,1,6,168346,5.226202802,0,0,0,0,5.255472669,0,5.668317409,0,4.36692737,3840,24.79999924,16769.0011,108.2997954,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,20,2006,3,14,"Caquet<e1> department",18592,"Puerto Rico",0,0,1,5,26517,4.423524389,0,0,0,0,5.255472669,0,5.668317409,0,4.36692737,3750,24.5,16375.97764,106.9897206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
